RBP,have_motif,have_mean,no_motif,no_mean,D,p,fdr
ELAVL3,11141,6.362805937,12750,6.401239932,0.016742588,0.071346676,1
HNRNPC*,12778,6.264916063,11113,6.519457629,0.013772526,0.209537142,1
CELF5,8145,6.225623705,15746,6.464887908,0.020357155,0.023373573,1
OAS1,22561,6.4035005,1330,6.040943837,0.031183528,0.173751112,1
HNRNPM,6824,6.296081115,17067,6.418197255,0.014562194,0.252491122,1
QKI*,12518,6.31546914,11373,6.457995901,0.014500038,0.163134177,1
HNRNPA3,63,5.161657961,23828,6.386547156,0.106821107,0.470274084,1
ZFP36L2,104,6.916735867,23787,6.380984973,0.150562605,0.018288179,1
RBMS1,2717,6.448640311,21174,6.374935031,0.018455683,0.384983942,1
HNRNPA1L2,2586,5.869889784,21305,6.445636944,0.033760543,0.010423518,1
SRSF4,6350,6.366991827,17541,6.389227067,0.011744354,0.541036904,1
TARDBP*,2736,6.4061368,21155,6.380365861,0.028214266,0.04225744,1
RNASEL,20599,6.381791333,3292,6.392864647,0.021504202,0.144807825,1
A1CF,3387,6.268744225,20504,6.402243142,0.015610728,0.478087715,1
U2AF2,11353,6.436683769,12538,6.334994357,0.020315832,0.014624954,1
AGO2,301,5.866197022,23590,6.389915421,0.050858168,0.425577221,1
RC3H1,21604,6.340880436,2287,6.784192894,0.037529326,0.005902314,1
DDX58,20008,6.415888086,3883,6.215488348,0.024987481,0.034470243,1
HNRNPAB,4671,6.174920666,19220,6.433963353,0.014168889,0.437569797,1
HNRNPCL1,6746,6.496076039,17145,6.338950197,0.017016956,0.121134877,1
TRA2A,20849,6.409402436,3042,6.204536057,0.026724771,0.04510049,1
RBFOX2*,8826,6.286305493,15065,6.440152526,0.01664747,0.09147079,1
IGHMBP2,3510,6.168252162,20381,6.420355478,0.017455549,0.321188007,1
CMTR1,22334,6.361132374,1557,6.7015412,0.02363844,0.390199287,1
SRSF6*,5726,6.254981249,18165,6.423771398,0.017252811,0.149706773,1
YBX1*,18958,6.334182804,4933,6.572145244,0.012580639,0.565244357,1
XPO5,23439,6.361562402,452,7.511435722,0.078723174,0.008203016,1
PHAX,19001,6.36380296,4890,6.459143159,0.010976475,0.73682096,1
EIF4A3,4248,6.48072283,19643,6.362252176,0.015138933,0.400101781,1
RBM42,1922,6.116043931,21969,6.406700061,0.02274987,0.319695061,1
SNRPB2,36,5.438790922,23855,6.384742553,0.121096206,0.667580074,1
HNRNPA2B1*,18958,6.334182804,4933,6.572145244,0.012580639,0.565244357,1
SRP14,23564,6.367565778,327,7.518379457,0.080256152,0.031378043,1
CPEB4,13176,6.27344681,10715,6.518422297,0.016921595,0.067807923,1
PABPC4,5941,6.234413442,17950,6.432600547,0.012474307,0.490853112,1
HNRNPLL*,135,5.70935554,23756,6.387147124,0.079154428,0.369576768,1
F2,23655,6.386850359,236,6.029173035,0.058650839,0.397514519,1
CNOT4,10650,6.211039026,13241,6.52188388,0.021752375,0.007502072,1
ADAR,18169,6.378814903,5722,6.397613092,0.012900472,0.463806942,1
ESRP1,5761,6.133013819,18130,6.462853694,0.02348564,0.01608901,1
DHX58,7042,6.394197645,16849,6.378769676,0.015445401,0.18689431,1
