noncode,lncrna_id,lncrna_source,lncrna_name,lambda.z,r.squared,adj.r.squared,lambda.z.time.first,lambda.z.n.points,clast.pred,half.life,span.ratio,tmax,tlast
NONHSAT094624.2,NONHSAT094624.2,lncipedia,lnc-CPLX1-10-1_dup1,0.05366933,0.974938184,0.949876369,6,3,0.292013905,12.91514507,1.393712568,0,24
NONHSAT094667.2,ENST00000510332,lncipedia,lnc-FGFRL1-4-2_dup1,0.114318323,0.984203965,0.96840793,0,3,0.140200367,6.063307803,3.958235468,0,24
NONHSAT094675.2,NONHSAT094675.2,lncipedia,lnc-C4orf42-5-1_dup1,0.128146478,0.94575637,0.89151274,6,3,0.026831463,5.409022489,3.327773186,0,24
NONHSAT094694.2,ENST00000505364,lncipedia,lnc-C4orf42-1-6_dup1,0.080758986,0.947971755,0.895943511,6,3,0.043646487,8.582910911,2.09719059,6,24
NONHSAT094701.2,NONHSAT094701.2,lncipedia,lnc-MAEA-1-3_dup1,0.020694737,0.920281047,0.880421571,0,4,1.045505699,33.49388632,0.716548679,0,24
NONHSAT094759.2,NONHSAT094759.2,lncipedia,lnc-POLN-1-3_dup1,0.127033065,0.995038116,0.990076233,6,3,0.122442716,5.456431204,3.298859516,6,24
NONHSAT094799.2,NONHSAT094799.2,lncipedia,lnc-FAM193A-2-1,0.278197931,0.997773409,0.995546818,0,3,0.091747228,2.491561231,4.816257314,0,12
NONHSAT094858.2,NONHSAT094858.2,lncipedia,lnc-C4orf44-3-1_dup1,0.169285338,0.967658341,0.935316681,0,3,0.130061247,4.094549411,2.93072541,0,12
NONHSAT094860.2,ENST00000510094,lncipedia,"lnc-C4orf44-4-1_dup1,lnc-C4orf44-4-1",0.068788991,0.98477463,0.969549261,6,3,0.338339892,10.07642611,1.78634764,0,24
NONHSAT094861.2,ENST00000600073,lncipedia,"lnc-C4orf44-4-2_dup1,lnc-C4orf44-4-2",0.061454524,0.99874222,0.997484439,6,3,0.231547352,11.27902613,1.595882462,0,24
NONHSAT094875.2,ENST00000564650,lncipedia,lnc-LRPAP1-1-1,0.025897496,0.996080058,0.992160116,6,3,1.238992985,26.76502723,0.672519398,0,24
NONHSAT094944.2,NONHSAT094944.2,lncipedia,"lnc-NSG1.1-2-1_dup1,lnc-NSG1.1-2-1",0.104930846,0.999973844,0.999947688,6,3,0.112231044,6.605752347,2.724897794,0,24
NONHSAT094952.2,NONHSAT094952.2,lncipedia,lnc-MSX1-2-2,0.1017994,0.882639521,0.765279041,6,3,0.021207482,6.808951555,2.643578803,6,24
NONHSAT095027.2,NONHSAT095027.2,lncipedia,"lnc-KIAA0232-3-1_dup1,lnc-KIAA0232-3-1",0.14293805,0.905105215,0.857657823,0,4,0.036903848,4.849283868,4.949184386,0,24
NONHSAT095032.2,ENST00000365522,lncipedia,"lnc-TADA2B-3-1_dup1,lnc-TADA2B-3-1",0.042155907,0.893786209,0.787572419,6,3,0.18730086,16.44246866,1.094726125,0,24
NONHSAT095091.2,NONHSAT095091.2,lncipedia,lnc-ACOX3-5-1_dup1,0.06215834,0.899358025,0.849037037,0,4,1.616693631,11.15131416,2.152212704,0,24
NONHSAT095104.2,ENST00000528132,lncipedia,lnc-METTL19-1-1_dup1,0.051267852,0.890830026,0.836245039,0,4,0.409392986,13.52011366,1.775133006,0,24
NONHSAT095156.2,ENST00000561486,lncipedia,lnc-WDR1-1-1_dup1,0.029455744,0.969972611,0.939945221,6,3,3.635794033,23.5318168,0.764921814,0,24
