noncode,lncrna_id,lncrna_source,lncrna_name,lambda.z,r.squared,adj.r.squared,lambda.z.time.first,lambda.z.n.points,clast.pred,half.life,span.ratio,tmax,tlast
NONHSAT114451.2,NONHSAT114451.2,lncipedia,lnc-KIAA1919-1-4_dup1,0.07594531,0.995712633,0.991425267,6,3,0.314218259,9.126925469,1.972186588,6,24
NONHSAT114681.2,NONHSAT114681.2,lncipedia,"lnc-ROS1-3-1_dup1,lnc-ROS1-3-1",0.032565803,0.99260807,0.98521614,6,3,0.13128263,21.28451085,0.845685397,0,24
NONHSAT114882.2,NONHSAT114882.2,lncipedia,lnc-ARHGAP18-1-3,0.039813217,0.920740935,0.84148187,6,3,0.166282197,17.40997663,1.033889958,6,24
NONHSAT115059.2,NONHSAT115059.2,lncipedia,"lnc-ALDH8A1-2-1_dup1,lnc-ALDH8A1-2-1",0.07785515,0.999557742,0.999115485,6,3,0.27755975,8.903035665,2.021782309,0,24
NONHSAT115814.2,NONHSAT115814.2,lncipedia,"lnc-DYNLT1-4-1_dup1,lnc-DYNLT1-4-1",0.199646707,0.909247194,0.818494388,0,3,0.028283415,3.471868841,3.456351766,0,12
NONHSAT116022.2,ENST00000584911,lncipedia,lnc-SDIM1-3-1_dup1,0.098764986,0.992884685,0.98576937,6,3,0.197449985,7.018146909,2.564779597,0,24
NONHSAT118802.2,NONHSAT118802.2,lncipedia,lnc-CHST12-1-4_dup1,0.079876381,0.998988608,0.997977216,6,3,0.234530744,8.677748988,2.074270646,6,24
NONHSAT119880.2,NONHSAT119880.2,lncipedia,lnc-GGCT-1-31_dup1,0.068652327,0.898180803,0.796361607,6,3,0.167251985,10.09648489,1.782798687,6,24
NONHSAT120000.2,NONHSAT120000.2,lncipedia,lnc-KBTBD2-2-2,0.023663895,0.998633252,0.997266504,6,3,0.355952752,29.29134003,0.614516099,6,24
NONHSAT120522.2,NONHSAT120522.2,lncipedia,"lnc-PKD1L1-1-1_dup1,lnc-PKD1L1-1-1",0.025458105,0.956789065,0.913578129,6,3,2.549697874,27.22697498,0.661109066,6,24
NONHSAT121277.2,NONHSAT121277.2,lncipedia,lnc-STAG3L4-1-7_dup1,0.072969343,0.963329468,0.944994202,0,4,0.019104295,9.499156065,2.526540235,0,24
NONHSAT121283.2,NONHSAT121283.2,lncipedia,lnc-STAG3L4-1-9_dup1,0.017279977,0.997919939,0.995839877,6,3,0.086935952,40.11273664,0.448735277,0,24
NONHSAT122347.2,NONHSAT122347.2,lncipedia,lnc-GPC2-2-5_dup1,0.154187206,0.91345667,0.82691334,6,3,0.206885992,4.495490881,4.004012126,6,24
NONHSAT122631.2,NONHSAT122631.2,lncipedia,lnc-CDHR3-1-5,0.016149945,0.909086034,0.818172068,6,3,1.536224211,42.91947675,0.419390015,6,24
NONHSAT122633.2,NONHSAT122633.2,lncipedia,lnc-CDHR3-1-6_dup1,0.015662217,0.993669525,0.98733905,6,3,0.16243022,44.25600542,0.406724462,6,24
NONHSAT122723.2,NONHSAT122723.2,lncipedia,"lnc-LAMB4-2-1_dup1,lnc-LAMB4-2-1",0.043193662,0.928188741,0.856377482,6,3,0.084066177,16.04742792,1.12167508,6,24
NONHSAT122761.2,ENST00000435466,lncipedia,lnc-IMMP2L-1-1_dup1,0.059285988,0.996880744,0.993761487,6,3,0.867057346,11.6915853,1.539568804,6,24
NONHSAT123136.2,NONHSAT123136.2,lncipedia,lnc-ZNF800-2-2,0.108160914,0.981360541,0.962721083,6,3,0.03114263,6.408481197,2.808777844,6,24
NONHSAT123138.2,ENST00000624029,lncipedia,"lnc-ZNF800-2-3_dup1,lnc-ZNF800-2-3",0.092532152,0.949981099,0.899962198,6,3,0.145276373,7.490879253,2.402922193,6,24
NONHSAT123178.2,NONHSAT123178.2,lncipedia,"lnc-RBM28-3-1_dup1,lnc-RBM28-3-1",0.192156641,0.951691977,0.903383954,6,3,0.114126726,3.60719868,4.990021786,6,24
NONHSAT123380.2,NONHSAT123380.2,lncipedia,"lnc-KLF14-2-24_dup1,lnc-KLF14-2-24",0.062497459,0.947481454,0.894962908,6,3,0.038932072,11.09080576,1.62296594,0,24
NONHSAT123398.2,NONHSAT123398.2,lncipedia,"lnc-KLF14-2-21_dup1,lnc-KLF14-2-21",0.057945284,0.9644147,0.9288294,6,3,0.04516505,11.96209835,1.504752718,6,24
NONHSAT123728.2,ENST00000602609,lncipedia,"lnc-PRSS37-3-1_dup1,lnc-PRSS37-3-1",0.074155581,0.998343003,0.996686007,6,3,0.540781826,9.347201768,1.925710009,6,24
NONHSAT125498.2,ENST00000521025,lncipedia,lnc-RP11-582J16.5.1-1-1,0.035670057,0.995555625,0.991111249,6,3,0.337085025,19.43218587,0.926298262,6,24
NONHSAT126615.2,NONHSAT126615.2,lncipedia,lnc-MRPL15-1-1_dup1,0.051881352,0.875646075,0.751292151,6,3,0.029519003,13.36023739,1.34728145,6,24
NONHSAT127263.2,NONHSAT127263.2,lncipedia,"lnc-STAU2-3-4_dup1,lnc-STAU2-3-4",0.068230436,0.927229154,0.890843731,0,4,0.026003605,10.15891476,2.362457069,0,24
NONHSAT127374.2,NONHSAT127374.2,lncipedia,"lnc-FAM164A-4-1_dup1,lnc-FAM164A-4-1",0.050338437,0.987883082,0.975766163,0,3,0.034298856,13.76973983,0.87147616,0,12
NONHSAT128045.2,NONHSAT128045.2,lncipedia,"lnc-YWHAZ-5-1_dup1,lnc-YWHAZ-5-1",0.068964445,0.947134053,0.894268106,0,3,0.040971581,10.05079039,1.193935953,0,12
NONHSAT128130.2,ENST00000520455,lncipedia,lnc-KB-1507C5.2.1-4-9_dup1,0.035220957,0.911330176,0.822660353,6,3,0.306116398,19.67996426,0.914635807,6,24
NONHSAT128216.2,ENST00000625136,lncipedia,"lnc-LRP12-2-1_dup1,lnc-LRP12-2-1",0.05670978,0.990553905,0.981107809,6,3,0.032113283,12.22270972,1.472668534,6,24
NONHSAT128404.2,NONHSAT128404.2,lncipedia,"lnc-SAMD12-4-1_dup1,lnc-SAMD12-4-1",0.032573489,0.992507016,0.985014032,6,3,0.025328912,21.27948819,0.845885006,0,24
