noncode,lncrna_id,lncrna_source,lncrna_name,lambda.z,r.squared,adj.r.squared,lambda.z.time.first,lambda.z.n.points,clast.pred,half.life,span.ratio,tmax,tlast
NONHSAT029364.2,NONHSAT029364.2,lncipedia,lnc-YEATS4-1-1_dup1,0.126695999,0.866825812,0.733651624,0,3,0.101526434,5.470947674,2.193404272,0,12
NONHSAT030182.2,NONHSAT030182.2,lncipedia,lnc-UHRF1BP1L-2-6,0.13466375,0.872509566,0.745019132,0,3,0.018349722,5.147244027,2.331344684,0,12
NONHSAT030401.2,NONHSAT030401.2,lncipedia,"lnc-C12orf73-2-1_dup1,lnc-C12orf73-2-1",0.048019897,0.931091484,0.862182969,6,3,0.077323413,14.43458277,1.247005216,0,24
NONHSAT030470.2,NONHSAT030470.2,lncipedia,"lnc-NUAK1-5-1_dup1,lnc-NUAK1-5-1",0.361702006,0.898525961,0.797051921,6,3,0.515574526,1.916348734,9.392862415,6,24
NONHSAT030757.2,ENST00000456429,lncipedia,lnc-TMEM116-2-2,0.063431454,0.995264225,0.99052845,6,3,0.183455831,10.9274995,1.647220391,0,24
NONHSAT030758.2,ENST00000428207,lncipedia,lnc-TMEM116-2-1,0.109271019,0.80594861,0.708922915,0,4,0.024625045,6.343376171,3.783474187,0,24
NONHSAT030760.2,ENST00000442119,lncipedia,lnc-TMEM116-2-11_dup1,0.054366893,0.817814981,0.726722472,0,4,0.663770635,12.74943513,1.88243634,0,24
NONHSAT030764.2,NONHSAT030764.2,lncipedia,lnc-TMEM116-2-7_dup1,0.019002214,0.919801306,0.87970196,0,4,0.223536703,36.47717963,0.657945605,0,24
NONHSAT030856.2,ENST00000550223,lncipedia,lnc-RBM19-1-8_dup1,0.037918004,0.970251204,0.940502408,6,3,8.614775243,18.28015992,0.984674099,6,24
NONHSAT031027.2,NONHSAT031027.2,lncipedia,lnc-TAOK3-1-10_dup1,0.070960067,0.997655612,0.995311224,6,3,0.259511624,9.768130249,1.842727271,6,24
NONHSAT031449.2,NONHSAT031449.2,lncipedia,lnc-RHOF-1-30_dup1,0.155005739,0.874117426,0.748234852,6,3,0.014802798,4.471751715,4.025268205,6,24
NONHSAT031486.2,ENST00000423999,lncipedia,lnc-BCL7A-1-3_dup1,0.07478024,0.95396077,0.90792154,6,3,0.251509507,9.269122118,1.941931476,6,24
NONHSAT031487.2,NONHSAT031487.2,lncipedia,lnc-BCL7A-1-5_dup1,0.032573489,0.992507017,0.985014035,6,3,0.11081399,21.27948808,0.845885011,6,24
NONHSAT031490.2,NONHSAT031490.2,lncipedia,"lnc-MLXIP-1-2_dup1,lnc-MLXIP-1-2",0.055573704,0.999960404,0.999920808,6,3,0.311536275,12.47257486,1.443166323,6,24
NONHSAT031614.2,NONHSAT031614.2,lncipedia,"lnc-DNAH10OS-2-1_dup1,lnc-DNAH10OS-2-1",0.054760977,0.961845572,0.923691143,6,3,1.746118854,12.65768466,1.422061024,6,24
NONHSAT031651.2,ENST00000539391,lncipedia,lnc-FAM101A-1-1_dup1,0.038286711,0.980698155,0.96139631,0,3,0.030771574,18.10411926,1.325665152,0,24
NONHSAT031930.2,ENST00000537367,lncipedia,lnc-GLT1D1-1-12_dup1,0.046338468,0.840827746,0.761241618,0,4,0.60014807,14.95835348,1.604454664,0,24
NONHSAT032115.2,NONHSAT032115.2,lncipedia,lnc-ANKLE2-2-1,0.01456167,0.955357025,0.91071405,6,3,0.216378846,47.60080423,0.378144872,0,24
NONHSAT032363.2,NONHSAT032363.2,lncipedia,lnc-MRP63-5-6,0.032573489,0.992507017,0.985014033,6,3,0.179116219,21.27948814,0.845885008,0,24
NONHSAT032536.2,NONHSAT032536.2,lncipedia,lnc-RNF17-1-1,0.021662942,0.965873572,0.931747144,6,3,1.162067412,31.99690936,0.562554333,6,24
NONHSAT033476.2,ENST00000423211,lncipedia,lnc-LACC1-1-4_dup1,0.099676004,0.994538255,0.98907651,6,3,0.107446564,6.954002508,2.588437375,6,24
NONHSAT033589.2,NONHSAT033589.2,lncipedia,lnc-GTF2F2-2-30,0.056087817,0.994688446,0.992032669,0,4,0.026124138,12.35824841,1.942022785,0,24
NONHSAT033777.2,NONHSAT033777.2,lncipedia,lnc-SPRYD7-1-10_dup1,0.017374781,0.988424494,0.976848988,0,3,0.075660169,39.89386497,0.601596261,0,24
NONHSAT033788.2,NONHSAT033788.2,lncipedia,lnc-SPRYD7-1-18_dup1,0.084127197,0.918361125,0.836722249,0,3,0.085368218,8.239275856,1.456438674,0,12
NONHSAT033796.2,ENST00000433070,lncipedia,lnc-SPRYD7-1-2_dup1,0.032573489,0.992507016,0.985014033,6,3,0.100335876,21.27948815,0.845885008,6,24
NONHSAT033798.2,ENST00000443587,lncipedia,lnc-SPRYD7-1-9_dup1,0.105198988,0.903748624,0.807497249,6,3,0.225974791,6.588914937,2.731861038,6,24
NONHSAT033894.2,NONHSAT033894.2,lncipedia,"lnc-SERPINE3-2-1_dup1,lnc-SERPINE3-2-1",0.065698341,0.975329798,0.950659597,0,3,0.048069286,10.55045187,2.274784084,0,24
NONHSAT034727.2,NONHSAT034727.2,lncipedia,"lnc-TGDS-1-3_dup1,lnc-TGDS-1-3",0.165855436,0.960924953,0.921849906,0,3,0.038539362,4.179224981,2.871345777,0,12
NONHSAT034765.2,NONHSAT034765.2,PMID22140575,mixed_Pred13156,0.087107579,0.967066859,0.934133719,6,3,0.024081942,7.957369358,2.262054102,6,24
NONHSAT035062.2,ENST00000444865,lncipedia,lnc-DAOA-4-5_dup1,0.051881352,0.875646068,0.751292135,6,3,0.089435788,13.3602375,1.347281438,6,24
NONHSAT035305.2,NONHSAT035305.2,lncipedia,"lnc-MCF2L-2-1_dup1,lnc-MCF2L-2-1",0.03257349,0.992507017,0.985014033,6,3,0.157735228,21.27948799,0.845885014,6,24
NONHSAT035673.2,ENST00000565098,lncipedia,"lnc-RPGRIP1-1-1_dup1,lnc-RPGRIP1-1-1",0.060064448,0.919685291,0.839370583,0,3,0.198857373,11.54005747,2.079712347,0,24
NONHSAT035852.2,ENST00000557615,lncipedia,lnc-PSMB11-1-1,0.054826715,0.913344918,0.870017377,0,4,0.84722005,12.64250795,1.898357516,0,24
NONHSAT035884.2,NONHSAT035884.2,lncipedia,lnc-RP11-124D2.6.1-1-1_dup1,0.018378337,0.993787993,0.987575987,6,3,0.818444519,37.71544607,0.477258044,6,24
NONHSAT035959.2,NONHSAT035959.2,lncipedia,lnc-DHRS4L2-1-1,0.02095444,0.940793305,0.881586611,6,3,0.68786658,33.07877408,0.544155595,6,24
NONHSAT035962.2,NONHSAT035962.2,lncipedia,lnc-DHRS4L2-2-2,0.032573588,0.992596131,0.985192263,6,3,0.416235761,21.27942365,0.845887572,0,24
NONHSAT036011.2,NONHSAT036011.2,lncipedia,lnc-TSSK4-1-1_dup1,0.063009325,0.990429185,0.98085837,6,3,0.140697404,11.00070793,1.636258331,6,24
NONHSAT036307.2,ENST00000554243,lncipedia,lnc-C14orf126-12-1,0.075468988,0.99831281,0.99662562,6,3,0.298584982,9.184529966,1.959817222,6,24
NONHSAT036344.2,ENST00000557373,lncipedia,"lnc-SRP54-1-1_dup1,lnc-SRP54-1-1",0.087604559,0.922264809,0.883397214,0,4,0.200809343,7.912227286,3.033279901,0,24
NONHSAT036355.2,NONHSAT036355.2,lncipedia,"lnc-BAZ1A-1-5_dup1,lnc-BAZ1A-1-5",0.043193662,0.928188741,0.856377483,6,3,0.050951111,16.04742794,1.121675079,0,24
NONHSAT036368.2,ENST00000475906,lncipedia,lnc-PSMA6-3-1,0.018222161,0.876912676,0.815369014,0,4,10.37077712,38.03869334,0.630936499,0,24
NONHSAT036444.2,NONHSAT036444.2,lncipedia,lnc-PAX9-1-1_dup1,0.049694676,0.99608041,0.99216082,6,3,0.788518347,13.94811749,1.290496729,6,24
NONHSAT036756.2,NONHSAT036756.2,lncipedia,"lnc-ARF6-3-1_dup1,lnc-ARF6-3-1",0.159658569,0.925240222,0.850480445,6,3,2.007796207,4.341434243,4.146095275,6,24
